county,AUN,LEA,SCHOOL CODE,SCHOOL,GRADUATE COUNT,COLLEGE BOUND,TOTAL COLLEGE BOUND %,2- OR 4-YEAR COLLEGE OR UNIVERSITY,2- OR 4-YEAR UNIVERSITY %,TOTAL POSTSECONDARY BOUND,TOTAL POSTSECONDARY BOUND %,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL %,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION %
,,Antietam SD,,,77,49,63.64%,45,58.44%,54,70.13%,5,6.49%,4,5.19%
,114060753,Boyertown Area SD,6306,Boyertown Area SHS,495,335,67.68%,323,65.25%,340,68.69%,5,1.01%,12,2.42%
,,,9999,Boyertown Area SD,14,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Boyertown Area SD,,,509,335,65.82%,323,63.46%,340,66.80%,5,0.98%,12,2.36%
,114060853,Brandywine Heights Area SD,6308,Brandywine Heights HS,111,67,60.36%,65,58.56%,67,60.36%,0,0.00%,2,1.80%
,,,9999,Brandywine Heights Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Brandywine Heights Area SD,,,113,67,59.29%,65,57.52%,67,59.29%,0,0.00%,2,1.77%
,114061103,Conrad Weiser Area SD,0777,Conrad Weiser HS,171,109,63.74%,101,59.06%,112,65.50%,3,1.75%,8,4.68%
,,,9999,Conrad Weiser Area SD,11,2,18.18%,1,9.09%,3,27.27%,1,9.09%,1,9.09%
,,Conrad Weiser Area SD,,,182,111,60.99%,102,56.04%,115,63.19%,4,2.20%,9,4.95%
,114061503,Daniel Boone Area SD,4810,Daniel Boone Area HS,259,161,62.16%,161,62.16%,169,65.25%,8,3.09%,0,0.00%
,,,9999,Daniel Boone Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Daniel Boone Area SD,,,261,161,61.69%,161,61.69%,169,64.75%,8,3.07%,0,0.00%
,114062003,Exeter Township SD,0788,Exeter Twp SHS,344,226,65.70%,225,65.41%,229,66.57%,3,0.87%,1,0.29%
,,,9999,Exeter Township SD,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
,,Exeter Township SD,,,346,227,65.61%,226,65.32%,230,66.47%,3,0.87%,1,0.29%
,114062503,Fleetwood Area SD,5023,Fleetwood SHS,193,136,70.47%,134,69.43%,145,75.13%,9,4.66%,2,1.04%
,,,9999,Fleetwood Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Fleetwood Area SD,,,195,136,69.74%,134,68.72%,145,74.36%,9,4.62%,2,1.03%
,114063003,Governor Mifflin SD,0802,Governor Mifflin SHS,338,199,58.88%,198,58.58%,209,61.83%,10,2.96%,1,0.30%
,,,9999,Governor Mifflin SD,15,0,0.00%,0,0.00%,1,6.67%,1,6.67%,0,0.00%
,,Governor Mifflin SD,,,353,199,56.37%,198,56.09%,210,59.49%,11,3.12%,1,0.28%
,114063503,Hamburg Area SD,0808,Hamburg Area HS,167,97,58.08%,97,58.08%,98,58.68%,1,0.60%,0,0.00%
,,Hamburg Area SD,,,167,97,58.08%,97,58.08%,98,58.68%,1,0.60%,0,0.00%
,114064003,Kutztown Area SD,0816,Kutztown Area SHS,122,69,56.56%,69,56.56%,72,59.02%,3,2.46%,0,0.00%
,,,9999,Kutztown Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Kutztown Area SD,,,123,69,56.10%,69,56.10%,72,58.54%,3,2.44%,0,0.00%
,114065503,Muhlenberg SD,6610,Muhlenberg HS,334,197,58.98%,180,53.89%,197,58.98%,0,0.00%,17,5.09%
,,,9999,Muhlenberg SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Muhlenberg SD,,,335,197,58.81%,180,53.73%,197,58.81%,0,0.00%,17,5.07%
,114066503,Oley Valley SD,6318,Oley Valley SHS,107,71,66.36%,71,66.36%,72,67.29%,1,0.93%,0,0.00%
,,,9999,Oley Valley SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Oley Valley SD,,,110,71,64.55%,71,64.55%,72,65.45%,1,0.91%,0,0.00%
,114067002,Reading SD,8116,Reading SHS,987,372,37.69%,372,37.69%,374,37.89%,2,0.20%,0,0.00%
,,,9999,Reading SD,18,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Reading SD,,,"1,005",372,37.01%,372,37.01%,374,37.21%,2,0.20%,0,0.00%
,114067503,Schuylkill Valley SD,0864,Schuylkill Valley HS,179,120,67.04%,116,64.80%,124,69.27%,4,2.23%,4,2.23%
,,,9999,Schuylkill Valley SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Schuylkill Valley SD,,,182,120,65.93%,116,63.74%,124,68.13%,4,2.20%,4,2.20%
,114068003,Tulpehocken Area SD,4670,Tulpehocken JSHS,103,46,44.66%,46,44.66%,48,46.60%,2,1.94%,0,0.00%
,,,9999,Tulpehocken Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Tulpehocken Area SD,,,105,46,43.81%,46,43.81%,48,45.71%,2,1.90%,0,0.00%
,114068103,Twin Valley SD,0873,Twin Valley HS,248,180,72.58%,168,67.74%,180,72.58%,0,0.00%,12,4.84%
,,,9999,Twin Valley SD,27,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Twin Valley SD,,,275,180,65.45%,168,61.09%,180,65.45%,0,0.00%,12,4.36%
,114069103,Wilson SD,6980,Wilson HS,467,301,64.45%,301,64.45%,312,66.81%,11,2.36%,0,0.00%
,,,9999,Wilson SD,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Wilson SD,,,477,301,63.10%,301,63.10%,312,65.41%,11,2.31%,0,0.00%
,114069353,Wyomissing Area SD,0887,Wyomissing Area JSHS,145,127,87.59%,122,84.14%,128,88.28%,1,0.69%,5,3.45%
,,Wyomissing Area SD,,,145,127,87.59%,122,84.14%,128,88.28%,1,0.69%,5,3.45%
Berks,,,,,"4,960","2,865",57.76%,"2,796",56.37%,"2,935",59.17%,70,1.41%,69,1.39%
Blair,108070001,Central PA Digital Learning Foundation C,7720,Central PA Digital Lrng Foundation CS,22,6,27.27%,6,27.27%,10,45.45%,4,18.18%,0,0.00%
,,Central PA Digital Learning Foundation C,,,22,6,27.27%,6,27.27%,10,45.45%,4,18.18%,0,0.00%
,108070502,Altoona Area SD,0913,Altoona Area HS,452,236,52.21%,229,50.66%,247,54.65%,11,2.43%,7,1.55%
,,Altoona Area SD,,,452,236,52.21%,229,50.66%,247,54.65%,11,2.43%,7,1.55%
,108071003,Bellwood-Antis SD,0917,Bellwood-Antis HS,83,59,71.08%,59,71.08%,59,71.08%,0,0.00%,0,0.00%
,,Bellwood-Antis SD,,,83,59,71.08%,59,71.08%,59,71.08%,0,0.00%,0,0.00%
,108071504,Claysburg-Kimmel SD,0921,Claysburg-Kimmel HS,76,31,40.79%,28,36.84%,31,40.79%,0,0.00%,3,3.95%
,,,9999,Claysburg-Kimmel SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Claysburg-Kimmel SD,,,77,31,40.26%,28,36.36%,31,40.26%,0,0.00%,3,3.90%
,108073503,Hollidaysburg Area SD,5207,Hollidaysburg Area SHS,261,147,56.32%,145,55.56%,157,60.15%,10,3.83%,2,0.77%
,,,9999,Hollidaysburg Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Hollidaysburg Area SD,,,264,147,55.68%,145,54.92%,157,59.47%,10,3.79%,2,0.76%
,108077503,Spring Cove SD,0941,Central HS,149,71,47.65%,68,45.64%,79,53.02%,8,5.37%,3,2.01%
,,Spring Cove SD,,,149,71,47.65%,68,45.64%,79,53.02%,8,5.37%,3,2.01%
,108078003,Tyrone Area SD,0949,Tyrone Area HS,125,65,52.00%,60,48.00%,76,60.80%,11,8.80%,5,4.00%
,,Tyrone Area SD,,,125,65,52.00%,60,48.00%,76,60.80%,11,8.80%,5,4.00%
,108079004,Williamsburg Community SD,0951,Williamsburg Community JSHS,31,19,61.29%,19,61.29%,20,64.52%,1,3.23%,0,0.00%
,,Williamsburg Community SD,,,31,19,61.29%,19,61.29%,20,64.52%,1,3.23%,0,0.00%
Blair,,,,,"1,203",634,52.70%,614,51.04%,679,56.44%,45,3.74%,20,1.66%
Bradford,117080503,Athens Area SD,0958,Athens Area HS,160,81,50.63%,76,47.50%,81,50.63%,0,0.00%,5,3.13%
,,Athens Area SD,,,160,81,50.63%,76,47.50%,81,50.63%,0,0.00%,5,3.13%
,117081003,Canton Area SD,0988,Canton JSHS,64,33,51.56%,32,50.00%,33,51.56%,0,0.00%,1,1.56%
,,Canton Area SD,,,64,33,51.56%,32,50.00%,33,51.56%,0,0.00%,1,1.56%
,117083004,Northeast Bradford SD,0964,Northeast Bradford JSHS,59,29,49.15%,29,49.15%,31,52.54%,2,3.39%,0,0.00%
,,Northeast Bradford SD,,,59,29,49.15%,29,49.15%,31,52.54%,2,3.39%,0,0.00%
,117086003,Sayre Area SD,0965,Sayre Area HS,64,34,53.13%,34,53.13%,34,53.13%,0,0.00%,0,0.00%
,,Sayre Area SD,,,64,34,53.13%,34,53.13%,34,53.13%,0,0.00%,0,0.00%
,117086503,Towanda Area SD,5208,Towanda Area JSHS,89,37,41.57%,37,41.57%,40,44.94%,3,3.37%,0,0.00%
,,Towanda Area SD,,,89,37,41.57%,37,41.57%,40,44.94%,3,3.37%,0,0.00%
,117086653,Troy Area SD,1000,Troy Area JSHS,88,43,48.86%,43,48.86%,46,52.27%,3,3.41%,0,0.00%
,,Troy Area SD,,,88,43,48.86%,43,48.86%,46,52.27%,3,3.41%,0,0.00%
,117089003,Wyalusing Area SD,1005,Wyalusing Valley JSHS,88,33,37.50%,32,36.36%,39,44.32%,6,6.82%,1,1.14%
,,Wyalusing Area SD,,,88,33,37.50%,32,36.36%,39,44.32%,6,6.82%,1,1.14%
Bradford,,,,,612,290,47.39%,283,46.24%,304,49.67%,14,2.29%,7,1.14%
Bucks,122090001,Center for Student Learning CS at Pennsb,7726,Center for Student Lrng CS Pennsbury,25,8,32.00%,8,32.00%,11,44.00%,3,12.00%,0,0.00%
,,Center for Student Learning CS at Pennsb,,,25,8,32.00%,8,32.00%,11,44.00%,3,12.00%,0,0.00%
,122091002,Bensalem Township SD,5116,Bensalem Twp HS,444,306,68.92%,301,67.79%,310,69.82%,4,0.90%,5,1.13%
,,,9999,Bensalem Township SD,37,1,2.70%,0,0.00%,2,5.41%,1,2.70%,1,2.70%
,,Bensalem Township SD,,,481,307,63.83%,301,62.58%,312,64.86%,5,1.04%,6,1.25%
,122091303,Bristol Borough SD,1014,Bristol HS,69,37,53.62%,37,53.62%,42,60.87%,5,7.25%,0,0.00%
,,,9999,Bristol Borough SD,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Bristol Borough SD,,,77,37,48.05%,37,48.05%,42,54.55%,5,6.49%,0,0.00%
,122091352,Bristol Township SD,1029,Truman SHS,391,215,54.99%,215,54.99%,215,54.99%,0,0.00%,0,0.00%
,,,9999,Bristol Township SD,28,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Bristol Township SD,,,419,215,51.31%,215,51.31%,215,51.31%,0,0.00%,0,0.00%
,122091457,Bucks County Technical High School,1030,Bucks County Technical High School,325,166,51.08%,166,51.08%,195,60.00%,29,8.92%,0,0.00%
,,Bucks County Technical High School,,,325,166,51.08%,166,51.08%,195,60.00%,29,8.92%,0,0.00%
,122092002,Centennial SD,1040,William Tennent HS,456,316,69.30%,298,65.35%,316,69.30%,0,0.00%,18,3.95%
,,Centennial SD,,,456,316,69.30%,298,65.35%,316,69.30%,0,0.00%,18,3.95%
,122092102,Central Bucks SD,1043,Central Bucks HS-West,493,414,83.98%,399,80.93%,414,83.98%,0,0.00%,15,3.04%
,,,5133,Central Bucks HS-East,473,437,92.39%,437,92.39%,442,93.45%,5,1.06%,0,0.00%
,,,7790,Central Bucks HS-South,551,474,86.03%,474,86.03%,477,86.57%,3,0.54%,0,0.00%
,,,9999,Central Bucks SD,15,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Central Bucks SD,,,"1,532","1,325",86.49%,"1,310",85.51%,"1,333",87.01%,8,0.52%,15,0.98%
,122092353,Council Rock SD,5096,Council Rock HS North,391,346,88.49%,346,88.49%,350,89.51%,4,1.02%,0,0.00%
,,,7749,Council Rock HS South,526,451,85.74%,449,85.36%,457,86.88%,6,1.14%,2,0.38%
,,,9999,Council Rock SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Council Rock SD,,,924,797,86.26%,795,86.04%,807,87.34%,10,1.08%,2,0.22%
,122093140,School Lane CS,7568,School Lane CS,74,55,74.32%,55,74.32%,55,74.32%,0,0.00%,0,0.00%
,,,9999,School Lane CS,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,School Lane CS,,,75,55,73.33%,55,73.33%,55,73.33%,0,0.00%,0,0.00%
,122097203,Morrisville Borough SD,8381,Morrisville HS,41,19,46.34%,17,41.46%,20,48.78%,1,2.44%,2,4.88%
,,Morrisville Borough SD,,,41,19,46.34%,17,41.46%,20,48.78%,1,2.44%,2,4.88%
,122097502,Neshaminy SD,6455,Neshaminy HS,636,431,67.77%,431,67.77%,473,74.37%,42,6.60%,0,0.00%
,,,9999,Neshaminy SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Neshaminy SD,,,643,431,67.03%,431,67.03%,473,73.56%,42,6.53%,0,0.00%
,122097604,New Hope-Solebury SD,1084,New Hope-Solebury HS,119,108,90.76%,106,89.08%,108,90.76%,0,0.00%,2,1.68%
,,,9999,New Hope-Solebury SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,New Hope-Solebury SD,,,121,108,89.26%,106,87.60%,108,89.26%,0,0.00%,2,1.65%
,122098003,Palisades SD,1094,Palisades HS,113,91,80.53%,91,80.53%,92,81.42%,1,0.88%,0,0.00%
,,,9999,Palisades SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Palisades SD,,,114,91,79.82%,91,79.82%,92,80.70%,1,0.88%,0,0.00%
,122098103,Pennridge SD,1100,Pennridge HS,556,425,76.44%,422,75.90%,429,77.16%,4,0.72%,3,0.54%
,,,9999,Pennridge SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Pennridge SD,,,558,425,76.16%,422,75.63%,429,76.88%,4,0.72%,3,0.54%
,122098202,Pennsbury SD,4682,Pennsbury HS,742,584,78.71%,582,78.44%,605,81.54%,21,2.83%,2,0.27%
,,,9999,Pennsbury SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Pennsbury SD,,,748,584,78.07%,582,77.81%,605,80.88%,21,2.81%,2,0.27%
,122098403,Quakertown Community SD,1128,Quakertown Community HS,415,274,66.02%,274,66.02%,282,67.95%,8,1.93%,0,0.00%
,,,9999,Quakertown Community SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Quakertown Community SD,,,417,274,65.71%,274,65.71%,282,67.63%,8,1.92%,0,0.00%
Bucks,,,,,"6,956","5,158",74.15%,"5,108",73.43%,"5,295",76.12%,137,1.97%,50,0.72%
Butler,104101252,Butler Area SD,8344,Butler Area SHS,443,315,71.11%,312,70.43%,334,75.40%,19,4.29%,3,0.68%
,,,9999,Butler Area SD,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Butler Area SD,,,454,315,69.38%,312,68.72%,334,73.57%,19,4.19%,3,0.66%
,104103603,Karns City Area SD,1154,Karns City HS,103,50,48.54%,50,48.54%,54,52.43%,4,3.88%,0,0.00%
,,,9999,Karns City Area SD,18,11,61.11%,11,61.11%,12,66.67%,1,5.56%,0,0.00%
,,Karns City Area SD,,,121,61,50.41%,61,50.41%,66,54.55%,5,4.13%,0,0.00%
,104105003,Mars Area SD,1159,Mars Area SHS,252,203,80.56%,203,80.56%,212,84.13%,9,3.57%,0,0.00%
,,,9999,Mars Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Mars Area SD,,,253,203,80.24%,203,80.24%,212,83.79%,9,3.56%,0,0.00%
,104105353,Moniteau SD,1164,Moniteau JSHS,103,54,52.43%,52,50.49%,56,54.37%,2,1.94%,2,1.94%
,,Moniteau SD,,,103,54,52.43%,52,50.49%,56,54.37%,2,1.94%,2,1.94%
,104107503,Slippery Rock Area SD,1172,Slippery Rock Area HS,150,82,54.67%,81,54.00%,84,56.00%,2,1.33%,1,0.67%
,,,9999,Slippery Rock Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Slippery Rock Area SD,,,154,82,53.25%,81,52.60%,84,54.55%,2,1.30%,1,0.65%
,104107803,Knoch SD,1177,Knoch HS,196,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,9999,Knoch SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Knoch SD,,,198,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,104107903,Seneca Valley SD,8318,Seneca Valley HS,586,492,83.96%,476,81.23%,495,84.47%,3,0.51%,16,2.73%
,,,9999,Seneca Valley SD,5,1,20.00%,1,20.00%,2,40.00%,1,20.00%,0,0.00%
,,Seneca Valley SD,,,591,493,83.42%,477,80.71%,497,84.09%,4,0.68%,16,2.71%
Butler,,,,,"1,874","1,208",64.46%,"1,186",63.29%,"1,249",66.65%,41,2.19%,22,1.17%
Cambria,108110603,Blacklick Valley SD,5135,Blacklick Valley JSHS,48,17,35.42%,17,35.42%,17,35.42%,0,0.00%,0,0.00%
,,,9999,Blacklick Valley SD,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
,,Blacklick Valley SD,,,52,18,34.62%,18,34.62%,18,34.62%,0,0.00%,0,0.00%
,108111203,Cambria Heights SD,5212,Cambria Heights SHS,94,63,67.02%,61,64.89%,68,72.34%,5,5.32%,2,2.13%
,,Cambria Heights SD,,,94,63,67.02%,61,64.89%,68,72.34%,5,5.32%,2,2.13%
,108111303,Central Cambria SD,1208,Central Cambria HS,154,111,72.08%,101,65.58%,112,72.73%,1,0.65%,10,6.49%
,,Central Cambria SD,,,154,111,72.08%,101,65.58%,112,72.73%,1,0.65%,10,6.49%
,108111403,Conemaugh Valley SD,5136,Conemaugh Valley JSHS,40,21,52.50%,21,52.50%,21,52.50%,0,0.00%,0,0.00%
,,,9999,Conemaugh Valley SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Conemaugh Valley SD,,,43,21,48.84%,21,48.84%,21,48.84%,0,0.00%,0,0.00%
,108112003,Ferndale Area SD,1225,Ferndale Area JSHS,39,17,43.59%,17,43.59%,17,43.59%,0,0.00%,0,0.00%
,,Ferndale Area SD,,,39,17,43.59%,17,43.59%,17,43.59%,0,0.00%,0,0.00%
,108112203,Forest Hills SD,8382,Forest Hills JSHS,155,83,53.55%,76,49.03%,89,57.42%,6,3.87%,7,4.52%
,,,9999,Forest Hills SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Forest Hills SD,,,156,83,53.21%,76,48.72%,89,57.05%,6,3.85%,7,4.49%
,108112502,Greater Johnstown SD,1251,Greater Johnstown SHS,141,70,49.65%,57,40.43%,72,51.06%,2,1.42%,13,9.22%
,,,8314,Greater Johnstown School District's Cybe,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,9999,Greater Johnstown SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Greater Johnstown SD,,,154,70,45.45%,57,37.01%,72,46.75%,2,1.30%,13,8.44%
,108114503,Northern Cambria SD,6201,Northern Cambria HS,85,60,70.59%,46,54.12%,60,70.59%,0,0.00%,14,16.47%
,,,9999,Northern Cambria SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Northern Cambria SD,,,88,60,68.18%,46,52.27%,60,68.18%,0,0.00%,14,15.91%
,108116003,Penn Cambria SD,1213,Penn Cambria HS,125,64,51.20%,60,48.00%,69,55.20%,5,4.00%,4,3.20%
,,,9999,Penn Cambria SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Penn Cambria SD,,,131,64,48.85%,60,45.80%,69,52.67%,5,3.82%,4,3.05%
,108116303,Portage Area SD,1270,Portage Area JSHS,73,41,56.16%,38,52.05%,41,56.16%,0,0.00%,3,4.11%
,,Portage Area SD,,,73,41,56.16%,38,52.05%,41,56.16%,0,0.00%,3,4.11%
,108116503,Richland SD,7941,Richland HS,108,82,75.93%,82,75.93%,91,84.26%,9,8.33%,0,0.00%
,,Richland SD,,,108,82,75.93%,82,75.93%,91,84.26%,9,8.33%,0,0.00%
,108118503,Westmont Hilltop SD,8379,Westmont Hilltop JSHS,135,86,63.70%,86,63.70%,89,65.93%,3,2.22%,0,0.00%
,,Westmont Hilltop SD,,,135,86,63.70%,86,63.70%,89,65.93%,3,2.22%,0,0.00%
Cambria,,,,,"1,227",716,58.35%,663,54.03%,747,60.88%,31,2.53%,53,4.32%
Cameron,109122703,Cameron County SD,1299,Cameron County JSHS,38,17,44.74%,15,39.47%,17,44.74%,0,0.00%,2,5.26%
,,Cameron County SD,,,38,17,44.74%,15,39.47%,17,44.74%,0,0.00%,2,5.26%
Cameron,,,,,38,17,44.74%,15,39.47%,17,44.74%,0,0.00%,2,5.26%
Carbon,121131507,Carbon Career & Technical Institute,4870,Carbon Career & Technical Institute,101,33,32.67%,25,24.75%,38,37.62%,5,4.95%,8,7.92%
,,Carbon Career & Technical Institute,,,101,33,32.67%,25,24.75%,38,37.62%,5,4.95%,8,7.92%
,121135003,Jim Thorpe Area SD,1307,Jim Thorpe Area HS,140,76,54.29%,73,52.14%,80,57.14%,4,2.86%,3,2.14%
,,,9999,Jim Thorpe Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Jim Thorpe Area SD,,,144,76,52.78%,73,50.69%,80,55.56%,4,2.78%,3,2.08%
,121135503,Lehighton Area SD,1315,Lehighton Area HS,152,65,42.76%,65,42.76%,77,50.66%,12,7.89%,0,0.00%
,,Lehighton Area SD,,,152,65,42.76%,65,42.76%,77,50.66%,12,7.89%,0,0.00%
,121136503,Palmerton Area SD,4734,Palmerton Area HS,108,71,65.74%,67,62.04%,73,67.59%,2,1.85%,4,3.70%
,,,9999,Palmerton Area SD,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0,0.00%
,,Palmerton Area SD,,,111,72,64.86%,68,61.26%,74,66.67%,2,1.80%,4,3.60%
,121136603,Panther Valley SD,8348,Panther Valley JSHS,79,36,45.57%,36,45.57%,38,48.10%,2,2.53%,0,0.00%
,,Panther Valley SD,,,79,36,45.57%,36,45.57%,38,48.10%,2,2.53%,0,0.00%
,121139004,Weatherly Area SD,1327,Weatherly Area SHS,25,17,68.00%,17,68.00%,17,68.00%,0,0.00%,0,0.00%
,,,9999,Weatherly Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Weatherly Area SD,,,27,17,62.96%,17,62.96%,17,62.96%,0,0.00%,0,0.00%
Carbon,,,,,614,299,48.70%,284,46.25%,324,52.77%,25,4.07%,15,2.44%
Centre,110141003,Bald Eagle Area SD,1335,Bald Eagle Area JSHS,127,65,51.18%,62,48.82%,72,56.69%,7,5.51%,3,2.36%
,,Bald Eagle Area SD,,,127,65,51.18%,62,48.82%,72,56.69%,7,5.51%,3,2.36%
,110141103,Bellefonte Area SD,1343,Bellefonte Area HS,221,133,60.18%,130,58.82%,136,61.54%,3,1.36%,3,1.36%
,,Bellefonte Area SD,,,221,133,60.18%,130,58.82%,136,61.54%,3,1.36%,3,1.36%
,110147003,Penns Valley Area SD,6231,Penns Valley Area JSHS,110,71,64.55%,71,64.55%,71,64.55%,0,0.00%,0,0.00%
,,Penns Valley Area SD,,,110,71,64.55%,71,64.55%,71,64.55%,0,0.00%,0,0.00%
,110148002,State College Area SD,1364,State College Area HS,582,429,73.71%,429,73.71%,432,74.23%,3,0.52%,0,0.00%
,,State College Area SD,,,582,429,73.71%,429,73.71%,432,74.23%,3,0.52%,0,0.00%
Centre,,,,,"1,040",698,67.12%,692,66.54%,711,68.37%,13,1.25%,6,0.58%
Chester,124150002,21st Century Cyber CS,7691,21st Century Cyber CS,270,125,46.30%,125,46.30%,144,53.33%,19,7.04%,0,0.00%
,,21st Century Cyber CS,,,270,125,46.30%,125,46.30%,144,53.33%,19,7.04%,0,0.00%
,124150003,Avon Grove CS,7721,Avon Grove CS,95,74,77.89%,74,77.89%,75,78.95%,1,1.05%,0,0.00%
,,,9999,Avon Grove CS,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Avon Grove CS,,,98,74,75.51%,74,75.51%,75,76.53%,1,1.02%,0,0.00%
,124150004,Pennsylvania Leadership CS,7819,Pennsylvania Leadership CS,336,233,69.35%,220,65.48%,242,72.02%,9,2.68%,13,3.87%
,,Pennsylvania Leadership CS,,,336,233,69.35%,220,65.48%,242,72.02%,9,2.68%,13,3.87%
,124150503,Avon Grove SD,1367,Avon Grove HS,420,310,73.81%,304,72.38%,316,75.24%,6,1.43%,6,1.43%
,,,9999,Avon Grove SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Avon Grove SD,,,429,310,72.26%,304,70.86%,316,73.66%,6,1.40%,6,1.40%
,124151902,Coatesville Area SD,5012,Coatesville Area SHS,463,304,65.66%,258,55.72%,316,68.25%,12,2.59%,46,9.94%
,,,9999,Coatesville Area SD,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Coatesville Area SD,,,476,304,63.87%,258,54.20%,316,66.39%,12,2.52%,46,9.66%
,124152003,Downingtown Area SD,1387,Downingtown HS West Campus,428,359,83.88%,346,80.84%,371,86.68%,12,2.80%,13,3.04%
,,,7759,Downingtown HS East Campus,404,344,85.15%,342,84.65%,349,86.39%,5,1.24%,2,0.50%
,,,8174,Downingtown STEM Academy,192,188,97.92%,188,97.92%,188,97.92%,0,0.00%,0,0.00%
,,Downingtown Area SD,,,"1,024",891,87.01%,876,85.55%,908,88.67%,17,1.66%,15,1.46%
,124152637,Insight PA Cyber CS,8394,Insight PA Cyber CS,245,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Insight PA Cyber CS,,,245,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,124153320,Collegium CS,7628,Collegium CS,126,94,74.60%,92,73.02%,99,78.57%,5,3.97%,2,1.59%
,,Collegium CS,,,126,94,74.60%,92,73.02%,99,78.57%,5,3.97%,2,1.59%
,124153350,Renaissance Academy CS,7636,Renaissance Academy CS,73,67,91.78%,66,90.41%,67,91.78%,0,0.00%,1,1.37%
,,,9999,Renaissance Academy CS,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
,,Renaissance Academy CS,,,75,68,90.67%,67,89.33%,68,90.67%,0,0.00%,1,1.33%
,124153503,Great Valley SD,1424,Great Valley HS,333,303,90.99%,303,90.99%,303,90.99%,0,0.00%,0,0.00%
,,,9999,Great Valley SD,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
